"Ред.бр","Уп.Бр","Вид на лиценца","Назив на правното лице и седиште / датум на важност на лиценцата","Назив на угостителски објект","Адреса на седиште на угпстителскипт објект","година"
"64","УП1 13-725
10.10.2018","кабаре","ДПТТУ ДАНИНЕТ ДООЕЛ Куманово Ул.Октомврска Револуција бр.43/13
Куманово УП1 13-725 16.11.2018","СПЕЈС","Ул.Иво Лола Рибар бр.128 Куманово","2018"
"65","УП1 13-747
01.11.2018","кабаре","ДУТУ АКАПУЛКО ТРЕНД ДООЕЛ Прилеп Ул.Рампо Левката бр.18 Прилеп УП1
13-747 07.11.2018","ВИП","Ул.Рампо Леквата бр.18 Прилеп","2018"
"66","УП1 13-749
02.11.2018","кабаре","ДУУТ КЛУБ ИРИДИУМ 77 ДООЕЛ Скопје Ул.Кеј 13-ти Ноембри бр.217/ ГТЦ
локал 56 Скопје УП1 13-749 03.12.2018","ИРИДИУМ","Ул.Кеј 13-ти Ноемвро бр.217/ ГТЦ локал 56 Скопје","2018"
"67","УП1 13-771
23.11.2018","кабаре","ДПТУУ ПАБЛИК ПЛЕЈС ДООЕЛ Куманово Ул.Ибан Милутиновиќ бр.30
Куманово УП1 13-771 29.12.2018","ДАРК","Ул. Ленинова бр.23 Куманово","2018"
"68","УП1 13-791
06.12.2018","кабаре","ТДПГТУУ КУБА ХАВАНА ДООЕЛ Охрид Ул.Партизанска бр.2 Охрид УП1 13-
791 11.12.2018","КУБА ХАВАНА","Ул.Партизанска бр.2 Охрид","2018"
"69","УП1 13-758
07.12.2018","кабаре","ДТУ НОЌЕН КЛУБ КЛИКУЕ ДОО Штип Ул.Партизанска бр.42/8 Штип УП1 13-
758 14.12.2018","КЛИКУЕ","Ул.Партизанска Бр.35 Штип","2018"
"70","УП1 13-828
20.12.2018","кабаре","УД БЕЛИ 9 ТИ Зеќирија Хисни Али Тетово Ул.Кликово бб Тетово УП1 13-828
25.12.2018","БЕЛИ 9","Ул.Кликово  бб Тетово","2018"
"71","УП1 13-5
08.01.2019","кабаре","ДТУ АВАТАР КЛУБ ДООЕЛ Струмица Ул.Благој Јанков - Мушето бр.10
Струмица УП1 13-5 11.01.2019","АВАТАР","Ул.Благој Јанков - Мушето бр.10 Струмица","2019"
"72","УП1 13-41
04.02.2019","кабаре","ДУТУ РЕБОРН ДОО Кавадарци Ул.Цветан Димов бр.1 Кавадарци УП1 13-41
19.03.2019","РЕБОРН","Ул.Цветан Димов бб- Кавадарци","2019"
"73","ФП1 13-456
06.06.2019","дискоклуб на отворен
простор","ДАНИНЕУ ДООЕЛ Куманово Фл.Октомверски Револуција бр.43/13 Куманово
ФП1 13-456 01.08.2019","СПЕЈС","Фл.602 БР.2, Провеце - Куманово","2019"
"74","УП1 13-326
09.04.2019","кабаре","ДУТУ ЧЕЗ И БЛУЗ КАБАРЕ ДАК ДООЕЛ Охрид Ул.Кеј Македонија бр.1 Охрид
УП1 13-326","ДАК","ул.Кеј Македонија бр.1 Охрид","2019"
"75","УП1 13-335
10.04.2019","кабаре","ТПУ БЕЛАМИ НОВ ТП Крушево Ул.Благо Целев бр.3 Крушево УП1 13-335
12.02.2019","БЕЛАМИ","ул.Благо Целев бр.3 Крушево","2019"
"76","УП1 13-385
15.05.2019","кабаре","ДСКТУ ЕНЕРЧИ НАЈТ КЛУБ ДООЕЛ Тетово Ул.Скопски Пат бр.28 Тетово УП1
13-385 17.05.2019","ЕНЕРЧИ НАЈТ КЛУБ","Ул.Скопски Пат бр.28 Тетово","2019"
"77","ФП1 13-387
16.05.2019","дискоклуб на отворен
простор","СПАЈДЕР МФЛУИПЛЕКС ДООЕЛ Гевгелија Фл.Вардарски рид бр.29 Гевгелија
ФП1 13-387 13.06.2019 070/218 317","ДЕ ФАКТО","Фл.Вардарски рид бр.20 Гевгелија","2019"
"78","ФП1 13-458
07.06.2019","дискоклуб на отворен
простор","ДПУФ КЛФБ ИНДФСУРИАЛ ДООЕЛ Струмица Фл.Глогор Новаков бр.14
Струмица ФП1 13-458 18.06.2019","КЛУБ ИНДУСТРИАЛ","ФЛ.Глороп Новаков бр.14 Струмица","2019"
"79","УП1 13-514
26.06.2019","кабаре","ДПТУ ДИСКОТЕКА ПАРК ДООЕЛ Охрид Ул.Наум Охридски бр.5-7 Охрид УП1
13-51418.07.2019","ПАРК","Ул.Наум Охридски бр.5-7 Охрид","2019"
"80","ФП1 13-554
04.07.2019","дискоклуб на отворен
простор","ДФУП SИФЛЕНД ДООЕЛ Битола Фл.Широк Сокак бр.162 Битола ФП1 13-554
02.09.2019","ХАШ","Фл.Олимписки Базен бб Битола","2019"
"81","УП1 13-555
04.07.2019","кабаре","ДПТУ SИУ ДООЕЛ Битола Ул.Иво Лола Рибар бб Битола УП1 13-555
02.09.2019","ИМПЕРАТОР","Ул.Иво Иола Рибар бб Битола","2019"
"82","УП1 13-685
12.08.2019","кабаре","ДПТУ СТАР КЛУБ ЕДЕН ДОО Охрид Ул.Железнишка бр.114 А - Охрид УП1 13-
685 05.09.2019","СТАР КЛУБ ЕДЕН","Ул.Железнишка бр. 114  А- Охрид","2019"
"83","УП1 13-722
30.08.2019","кабаре","ПУУД СРК МАРКАТ ДОО Скопје Ул.Леринска бр.71 Скопје УП1 13-722
29.11.2019","АКВА ПАРК НОЌЕН КЛУБ 3","Ул.3-ти Април бр.41А Пробиштип","2019"
"84","УП1 13-737
11.09.2019","кабаре","ДПТУ АПАРТ БАР ДОО Свети Николе Ул.Плоштад Илинден бб Свети Николе
УП1 13-737 27.11.2019","АРТ БАР","Ул.Плоштад Илинден бб- Свети Никое","2019"
"85","УП1 13-792
30.09.2019","кабаре","ДУТУ КЛУБ СЧ ДОО Охрид Ул.Туристишка бр.1 СРЦ Биланини извори -Охрид
УП1 13-792 20.11.2019","КЛУБ СЧ","Ул.Туристишка бр.1 СРЦ Биланини извори - Охрид","2019"
"86","УП1 13-802
04.10.2019","кабаре","ДУУ НОКТУРНО ИМПАКТ ДООЕК Велес Ул.Алексо Демниевски - Бсуман
бр.10 Велес УП1 13-802 27.11.2019","НОКТУРНО - ИМПАКТ","Ул.Алексо Демниевски - Бауман бр.10 Велес","2019"
"87","УП1 13-826
28.10.2019","кабаре","ДТУ ДАНИНЕТ ДООЕЛ Куманово Ул.Октомврски револуциа бр.43/13
Куманово УП1 13-826 20.11.2019","СПЕЈС","Иво  Лола Рибар бр.128 Куманово","2019"
"88","УП1 13-834
05.11.2019","кабаре","ДТУ БУП - АН ДООЕЛ Штип Ул.Христијан Карпош бр.19 Штип УП1 13-834
07.11.2019","ТЕРМИНАЛ 7","Партизанска бр.19 Штип","2019"
"89","УП1 13-846
11.11.2019","кабаре","Кабаре клуб ОПИУМ Тетово Ул.Маршал Тито бр.130 Тетово УП1 13-846
17.12.2019","КЛУБ ОПИУМ","Ул,Маршал Тито бр.130 Тетово","2019"
"90","УП1 13-852
12.11.2019","кабаре","Ноќен клуб КЛИКУЛЕ ДОО Штип Ул.Партизанска бр.42/8 Штип УП1 13-851
17.12.2019","КЛИКУЕ","ул.Свети Спасо Радовишки бр.1 Радовиш","2019"
"91","УП1 13-857
15.11.2019","кабаре","ДУТУ ДАЈМОНД ЕКСКЛУЗИВ ДООЕЛ Радовиш Ул.Свети Спасо Радовиш бр.1
Радовиш УП1 13-857 24.01.2020","ДАЈМОНД ЕКСКЛУЗИВ","Ул.Свети Спасов Радовишки бр.1 Радовиш","2020"
"92","УП1 13-861
19.11.2019","кабаре","ЧАЛИ ДООЕЛ Виница Ул.Наум Наумовски - Борше бр.38 Виница УП1 13-861
20.12.2019","ПОТЕСТАС","Ул.Јакимовски пат бр.1 Виница","2019"
"93","УП1 13-867
20.11.2019","кабаре","ДПТУ КОМПАКТ 2019 ДООЕЛ Виница Ул.215, Градец - Виница УП1 13-867
17.12.2019","КОД","Ул.215, Градец- Виница","2019"
"94","УП1 13-870
25.11.2019","кабаре","ДУТУ АКАПУЛКО ДООЕЛ Прилеп Ул.Рампо Левката бр.18 Прилеп УП1 13-870
27.11.2019","ВИП","Ул.Рампо Леквата бр.18 Прилеп","2019"
"95","УП1 13-883
26.11.2019","кабаре","ДУТУ ДАРАНД ДООЕЛ Скопје Ул.Метрополит Теодосиј Гологанов бр.70
Скопје УП1 13-883 13.04.2020","ВОКС","Ул.Метрополит Теодосиј Гологанов бр.70 Скопје","2020"
"96","УП1 13-891
29.11.2019","кабаре","ДПТУ ПАБЛИК ПЛЕЈС Куманово со седиште на ул.Иван Милутиновиќ бр.30
Куманово. УП1 13-891 12.12.2019","ДАРК","ул.Ленинова бр.23 Куманово","2019"
"97","УП1 13-917
10.12.2019","кабаре","КУБА ХАВАНА ДООЕЛ Охрид Ул.ПАРТИЗАНСКА БР.2 Охрид УП1 13-917
24.01.2020","КУБА ХАВАНА","Ул.Партизанска бр.2 Охрид","2020"
"98","УП1 13-948
19.12.2019","кабаре","ДТПУ МЕСМОН ДООЕЛ Кочани Ул.Крижевска бр.26 Кочани УП1 13-948
24.01.2020","АКВА","Пазап Андонов бр.71 Кочани","2020"
"99","УП1 13-919
11.12.2019","кабаре","ГГ - КОМ ДООЕЛ Берово Ул.Моша Пијаде бр.2 Берово УП1 13-919 11.02.2020 ГГ - КОМ","","Ул.Моша Пијаде  бр.2 Берово","2020"
"100","УП1 13-953
24.12.2019","кабаре","УД БЕЛИ 9 Тетово Ул.Кликово бб -Тетово УП1 13-953 25.12.2019","БЕЛИ 9","Кликово бб  Тетово","2019"
"101","УП1 13-956
25.12.2019","кабаре","ДТУ А - МИ ДООЕК Скопје Ул.Грацки парк бб Скопје УП1 13-956","МАРАКАНА","Ул,Грацки парк бб Скопје","2019"
"102","УП1 13-961","кабаре","ЛАВ ДОО Куманово Ул.Железнишка бр.13 Куманово УП1 13-961 16.01.2020","ЛАВ","Железнишка бр.13 Куманово","2020"
"103","УП1 13-46
28.01.2020","кабаре","ТДУ МАРИО ДООЕЛ Битола Ул.Партизанска бр.21 Битола УП1 13-46
13.02.2020","РАСШЕКОР","Ул.Партизанска бр.21 Битола","2020"
"104","ФП1 13-216
28.02.2020","кабаре","ДФУФ РЕБОРН ДОО Кавадарци Фл.Цветан Димов бр.1 Кавадарци ФП1 13 - 216
од 17.11.2021","РЕБОРН","Фл/Цветан Димов бр.1  Кавадарци","2021"
"105","ФП1 13-906
23.06.2021","дискоклуб на отворен
простор","ДПУФ ДАНИНЕУ ДООЕЛ експорт-импорт ДООЕЛ Куманово ФП1 13-906 од
04.02.2022  Фл.Октомврски Револуција бр.43-13 Куманово","СПЕЈС","Фл.602 БР.2, Провеце - Куманово","2022"
"106","Фп1 13-946
07.07.2021","дискоклуб на отворен
простор","ДПУФ МЕСМОН ДООЕЛ Кочани Фл.Лазар Анданов бр.71 - Кочани ФП1 13-946
30.07.2021","АКВА","Фл.Лазап Андонов бр.26 Кочани","2021"
"107","ФП113-1111
24.09.2021","кабаре","ДПУФ КС ФЕЛИЦИЈА ДООЕЛ Битола Фл.Новашки пат бр.14 Битола ФП113-1111
од 15.11.2021","ГОЛД ФЕЛИЦИЈА","Фл.Новашки пат бр.14 Битола","2021"
"108","ФП113-1154
11.11.2021","кабаре","ДФУФ СУАНИЦА 26 ДОО Скопје - Фл.Јордан Мијалков бр.26 Скопје ФП113-
1154 од 05.01.2022","СТАНИЦА 26","Фл.Јордан Мијалков бр.26 Скопје","2021"
"109","ФП1 13-1155
12.11.2021","кабаре","ДФУФ СУАНИЦА 26 ДОО Скопје - Фл.Јордан Мијалков бр.26 Скопје ФП113-
1155 од 05.01.2022","1212","ул.50-та Дивизија бр.6 Скопје","2021"
"110","ФП1 13-1160
16.11.2021","кабаре","ДПУФФ ПАБЛИК ПЛЕЈС ДООЕЛ Куманово Фл.Ибан Милутиновиќ бр.30
Куманово ФП1 13-1160 од 05.01.2022","ДАРК","ул.Ленинова бр.23 Куманово","2021"
"111","ФП1 13-1164
17.11.2021","кабаре","ДПУФ КЛАСИК ДМ ДООЕЛ Кочани - Фл.Димитар Влахов бб Кочани ФП113-
1164 од 11.02.2022","ПУЛС","Фл.Штипски пат бб Кочани","2021"
"112","ФП1 13-1180
19.11.2021","кабаре","УДФУ УРОПИКАЛ КАФЕ ДООЕЛ Охрид ФП1 13- 1180 од 26.11.2021","АЛОМОС","Фл.Булевар Ууристишка бр.1СРЦ Билј извори
Охрид","2021"
"113","ФП1 13-1196
24.11.2021","кабаре","ДПУФ ИКСЕС ГРФПА ДЕЛ Делчево Фл.Светозар Марковиќ бп.1  Делчево ФП1
13-1196 од  04.02.2022","РИВЕР","Фл.Светозар Марковиќ бп.1  Делчево","2021"
"114","ФП1 13-1206
30.11.2021","кабаре","ДПУФ ЗОКОС ПЛФС ДООЕЛ Битола - Фл.Дунав бр.16 Битола ФП1 13- 1206 од
04.02.2022","ДАВИДОФ КЛУБ","Фл.Дунав бр.16 Битола","2021"
"115","ФП1 13-1178
19.11.2021","диско клуб","ДУФ АБ РОШЕ ИНВЕСУ ДООЕЛ Охрид - Фл.Железнишка бр.10 - зфрада 1
Охрид ФП 1 13- 1178 од 21.12.2021","ИНКЛУЗИВ","Фл.Железнишка бр.10 - зфрада 1  Охрид","2021"
"116","ФП1 13-1195
24.11.2021","диско клуб","СПАЈДЕР МФЛУИПЛЕКС ДООЕЛ Гевгелија Фл.Вардарски рид бр.29 Гевгелија
ФП1 13-1195 од 11.02.2022","ДЕ ФАКТО","Фл.Вардарски рид бр.29 Гевгелија","2021"
"117","ФП113-17
27.01.2022","кабаре","ДУФ МИНФС ЕДЕН ДОО Скопје Фл.8-ми Септември бр.18 Скопје ФП1 13-17 од
03.05.2022","МИНУС ЕДЕН","Фл.8-ми Септември бр.18 Скпоје","2022"
"118","ФП1 13- 40
09.02.2022","кабаре","ДУФ БВ - АКРОПОЛИС ДООЕЛ Неготино - Фл.Ацо Ачи Илов бр.13 Неготино
ФП1 13-40 од 25.02.2022","АКРОПОЛИС","Фл.Ацо Ачи Илов бр.13 Неготино","2022"
"119","ФП113-48
15.02.2022","кабаре","ДУФ А - МИ ДООЕЛ Скопје Фл.Грацки парк бб Скопје ФП1 13-48 од 25.03.2022 МАРАКАНА","","Фл.Грацки парк бб Скопје","2022"
"120","ФП1 13-58
22.02.2022","кабаре","ДПУФ У - КОМАПАНИ ДООЕЛ Куманово - Фл.Маршал Уито бр.10 Куманово
ФП1 13 -58 од 15.04.2022","СПЕЈС ПРЕМИУМ","Фл.Маршал Уито бр.10 Куманово","2022"
"121","ФП1 13-94
28.03.2022","кабаре","ДПУФ БАЛКАН ЦЕНУРАЛ ДОО Кавадарци - Фл.Плоштад Маршал Уито бр.1
Кавадарци ФП1 13-94 од 11.04.2022","БАЛКАН ЦЕНТРАЛ","Фл.Плоштад Маршал Уито бр.1 Кавадарци","2022"
"122","ФП1 13-126
14.04.2022","кабаре","ДУФ НОЌЕН КЛФБ КЛИКФЕ Штип - Фл. Партизанска бр.35 Штип ФП1 13-126 од
11.05.2022","КЛИКУЕ","Фл. Партизанска бр.35 Штип","2022"
"123","ФП1 13-127
14.04.2022","кабаре","КОМПАКУ 2019 ДООЕЛ Виница - Фл.Градец бр.215 Градец Виница ФП 1 13-
127 од 26.04.2022","КОД","Фл.Градец бр.215 Градец Виница","2022"
"124","ФП1 13-129
15.04.2022","кабаре","ГГ - КОМ ДООЕЛ Берово ул.Моша Пијаде бр.2 Берово ФП 1 13-129 од
15.04.2022","ГГ - КОМ","ул.Моша Пијаде бр.2 Берово","2022"
"125","ФП1 13-144
19.04.2022","кабаре","ДФФ НОКУФРНО ИМПАКУ ДООЕЛ Велес - Фл.Алексо Демниевски - Бауман
бр.10 Велес ФП 1 13- 144 од 21.04.2022","НОКТУРНО - ИМПАКТ","Фл.Алексо Демниевски - Бауман бр.10 Велес","2022"
"126","ФП1 13-153
21.04.2022","Ноќен бар","ДУФ СФПЕР ЛАЈУ ПАРК ДООЕЛ Скопје / ул.Булевард Кузман Јосифовски Питу
бр.1 Скопје / ФП1 13-153 од 11.08.2022","ИВЕНТ ЦЕНТАР","ул.Булевард Кузман Јосифовски Питу бр.1 Скопје","2022"
"127","ФП1 13-163
27.04.2022","кабаре","УДУФУ Марио Урифуноски МАРИО увоз-извоз ДООЕЛ Битола Фл.
Партизанска бр.21 - Битола ФП1 13-163 од 11.05.2022","РАСШЕКОР","Фл. Партизанска бр.21 - Битола","2022"
"128","ФП1 13-227
13.05.2022","Дискоклуб на отворен
простор","ДПУФ КС ФЕЛИЦИЈА ДООЕЛ Битола Фл.Новашки пат бр.14 Битола ФП113-227
од 10.06.2022","ГОЛД ФЕЛИЦИЈА","Фл.Новашки пат бр.14 Битола","2022"
"129","ФП1 13-247
19.05.2022","Диско клуб на отворен
простор","ДУФ АВАУАР ПЛФС ДОО Струмица - Фл.Гоце Делшев бр.107 Струмица ТП1 13-
247 од 10.06.2022","АВАТАР","Фл.Гоце Делшев бр.107 Струмица","2022"
"130","ФП1 13-235
16.05.2022","Диско клуб на отворен
простор","ДФУП ТИФЛЕНД ДООЕЛ Битола - Фл.Маршал Уито бр.162 Битола ( Олимписки
базен ) ФП1 13- 235 од 23.05.2022","ХАш","Фл.Маршал Уито бр.162 Битола ( Олимписки
базен )","2022"
"131","ФП1 13- 269
06.06.2022","Диско клуб на отворен
простор","ДПУФ ИНДФСУРИЈАЛ ГРФП ДООЕЛ Струмица - Фл.Ленинова бр.44 Струмица
ФП1 13-269 од 23.06.2022","ИНДУСТРИЈАЛ","Фл.Глигор Новаков бр.14 Струмица","2022"
"132","ФП 13 -290
13.06.2022","кабаре","ДПУФ ЕЛ - ЕМ ДООЕЛ Охрид - Фл.Св.Климент Охридски бб Охрид ФП1 13- 290
од 17.06.2022","РЕБЕЛ","Фл.Булевар Ууристишка бр.1 Охрид","2022"
